,country,Life Satisfaction,Life Satisfaction latest year,Log GDP per capita,Log GDP per capita latest year,Social support,Social support latest year,Healthy life expectancy at birth,Healthy life expectancy at birth latest year,Positive Affect: % of time spent happy,Positive Affect: % of time spent happy latest year,Negative Affect: % of time feeling negative emotions,Negative Affect: % of time feeling negative emotions latest year,Confidence in national government,Confidence in national government latest year,Gini Index: Income Inequality,Gini Index: Income Inequality latest year
124,Slovakia,6.23511076,2018.0,10.35223579,2018.0,0.922378719,2018.0,68.90000153,2018.0,0.75410521,2018.0,0.25319004100000003,2018.0,0.327658623,2018.0,0.26725,2018.0
125,Slovenia,6.249419212,2018.0,10.39720345,2018.0,0.9409711959999999,2018.0,71.09999847,2018.0,0.643971622,2018.0,0.27548486,2018.0,0.239274636,2018.0,0.2495,2018.0
126,Somalia,4.6679410930000005,2016.0,,2016.0,0.594416559,2016.0,50.0,2016.0,0.8914231659999999,2016.0,0.193282232,2016.0,0.7006816859999999,2016.0,,2016.0
127,Somaliland,5.057314396000001,2012.0,,2012.0,0.786291242,2012.0,,2012.0,0.73518914,2012.0,0.152428225,2012.0,0.651241541,2012.0,,2012.0
128,South Africa,4.8839220999999995,2018.0,9.411724091,2018.0,0.841343999,2018.0,56.5,2018.0,0.812166572,2018.0,0.28270849600000003,2018.0,0.5246858,2018.0,0.624,2018.0
129,South Korea,5.840231419,2018.0,10.51157761,2018.0,0.79772383,2018.0,73.59999847,2018.0,0.66120857,2018.0,0.217145726,2018.0,0.389084011,2018.0,0.319,2018.0
130,South Sudan,2.8166224960000004,2017.0,,2017.0,0.556822658,2017.0,51.0,2017.0,0.585602164,2017.0,0.5173637870000001,2017.0,0.461550504,2017.0,0.46299999999999997,2017.0
131,Spain,6.513370991,2018.0,10.46559429,2018.0,0.9103146790000001,2018.0,74.40000153,2018.0,0.659188032,2018.0,0.35719084700000003,2018.0,0.285195619,2018.0,0.345384615,2018.0
132,Sri Lanka,4.400223255,2018.0,9.400387764,2018.0,0.828065395,2018.0,67.19999695,2018.0,0.831292987,2018.0,0.301279366,2018.0,0.57613039,2018.0,0.3934,2018.0
133,Sudan,4.138672829,2014.0,8.340058327000001,2014.0,0.81061554,2014.0,55.11999893,2014.0,0.5408450370000001,2014.0,0.302724987,2014.0,,2014.0,0.354,2014.0
134,Suriname,6.269286632999999,2012.0,9.624583244,2012.0,0.797262073,2012.0,62.24000168,2012.0,0.764222682,2012.0,0.250364989,2012.0,0.72176528,2012.0,,2012.0
135,eSwatini,4.211565018,2018.0,8.946770668,2018.0,0.779269755,2018.0,,2018.0,0.824354708,2018.0,0.252339154,2018.0,0.6895487309999999,2018.0,0.523,2018.0
136,Sweden,7.3747920989999995,2018.0,10.76693249,2018.0,0.93067956,2018.0,72.59999847,2018.0,0.822675705,2018.0,0.160755426,2018.0,0.49439624,2018.0,0.27415384600000003,2018.0
137,Switzerland,7.508586884,2018.0,10.97594547,2018.0,0.9302909970000001,2018.0,74.09999847,2018.0,0.792225957,2018.0,0.191520154,2018.0,0.84997946,2018.0,0.3281,2018.0
138,Syria,3.46191287,2015.0,,2015.0,0.463912874,2015.0,55.20000076,2015.0,0.36943960200000003,2015.0,0.642588735,2015.0,,2015.0,0.358,2015.0
139,Taiwan,6.4670047760000005,2018.0,,2018.0,0.896458745,2018.0,,2018.0,0.848398566,2018.0,0.09269564599999999,2018.0,0.311722934,2018.0,,2018.0
140,Tajikistan,5.829234122999999,2017.0,7.971400738,2017.0,0.6626933220000001,2017.0,63.79999924,2017.0,0.602667689,2017.0,0.27772533899999996,2017.0,0.92979306,2017.0,0.3266,2017.0
141,Tanzania,3.445023298,2018.0,7.928911209,2018.0,0.6753304,2018.0,57.5,2018.0,0.7620893120000001,2018.0,0.221005499,2018.0,0.914648473,2018.0,0.384666667,2018.0
142,Thailand,6.0115618710000005,2018.0,9.734828949,2018.0,0.873052418,2018.0,67.19999695,2018.0,0.8434894079999999,2018.0,0.198190212,2018.0,0.6053644420000001,2018.0,0.396692308,2018.0
143,Togo,4.022894859,2018.0,7.287405491,2018.0,0.596353889,2018.0,54.70000076,2018.0,0.608448625,2018.0,0.44645437600000004,2018.0,0.323221207,2018.0,0.437666667,2018.0
144,Trinidad and Tobago,6.191859722,2017.0,10.26684761,2017.0,0.916029036,2017.0,63.5,2017.0,0.846467078,2017.0,0.248098806,2017.0,0.272540897,2017.0,,2017.0
145,Tunisia,4.741132259,2018.0,9.304473877000001,2018.0,0.732953548,2018.0,66.90000153,2018.0,0.591726601,2018.0,0.365014285,2018.0,0.349490464,2018.0,0.381,2018.0
146,Turkey,5.185689449,2018.0,10.1489172,2018.0,0.847027302,2018.0,66.80000305,2018.0,0.434654295,2018.0,0.350773096,2018.0,0.513677061,2018.0,0.4058,2018.0
147,Turkmenistan,4.620601654,2018.0,9.749464035,2018.0,0.9844889640000001,2018.0,62.20000076,2018.0,0.6122102739999999,2018.0,0.18902453800000002,2018.0,,2018.0,,2018.0
148,Uganda,4.321714878,2018.0,7.45870924,2018.0,0.7398410440000001,2018.0,55.70000076,2018.0,0.685168505,2018.0,0.39031922799999996,2018.0,0.50385344,2018.0,0.4322,2018.0
